Potri.005G020900	TCONS_00090357
Potri.013G057200	TCONS_00216347
Potri.007G121900	TCONS_00134178
Potri.011G144800	TCONS_00202490
Potri.005G222500	TCONS_00107050
Potri.005G145900	TCONS_00094602
Potri.008G052100	TCONS_00142829
Potri.004G134100	TCONS_00085594
Potri.005G251300	TCONS_00108187
Potri.002G148600	TCONS_00051715
Potri.006G024300	TCONS_00109353
Potri.006G011700	TCONS_00119426
Potri.008G066300	TCONS_00152832
Potri.013G001400	TCONS_00214176
Potri.011G136900	TCONS_00202221
Potri.010G217900	TCONS_00190936
Potri.011G057800	TCONS_00199516
Potri.009G163200	TCONS_00171574
Potri.019G084100	TCONS_00285953
Potri.001G099400	TCONS_00003387
Potri.005G108000	TCONS_00093550
Potri.010G232400	TCONS_00191692
Potri.016G135100	TCONS_00256292
Potri.018G083200	TCONS_00274851
Potri.007G115000	TCONS_00133946
Potri.014G146300	TCONS_00231513
Potri.010G131900	TCONS_00176678
Potri.008G040700	TCONS_00151528
Potri.017G071400	TCONS_00268812
Potri.006G024900	TCONS_00109383
Potri.014G145900	TCONS_00231487
Potri.001G001300	TCONS_00017475
Potri.004G125800	TCONS_00077393
Potri.012G085800	TCONS_00206850
Potri.005G223900	TCONS_00097668
Potri.010G180400	TCONS_00178553
Potri.007G035200	TCONS_00130986
Potri.015G057400	TCONS_00243318
Potri.001G358200	TCONS_00030742
Potri.012G061400	TCONS_00205660
Potri.007G039400	TCONS_00131094
Potri.004G098100	TCONS_00076494
Potri.001G261900	TCONS_00027389
Potri.001G162400	TCONS_00006151
Potri.004G067800	TCONS_00083244
Potri.003G037200	TCONS_00057674
Potri.003G143900	TCONS_00062088
Potri.014G146900	TCONS_00238813
Potri.008G204100	TCONS_00149403
Potri.017G001900	TCONS_00261623
Potri.001G204200	TCONS_00007639
Potri.001G240000	TCONS_00026579
Potri.007G053000	TCONS_00137139
Potri.017G147700	TCONS_00266457
Potri.012G131800	TCONS_00208472
Potri.002G038800	TCONS_00036442
Potri.001G090600	TCONS_00020927
Potri.006G049300	TCONS_00120697
Potri.008G165700	TCONS_00156884
Potri.004G071000	TCONS_00083366
Potri.011G127100	TCONS_00196259
Potri.013G155100	TCONS_00219877
Potri.001G357000	TCONS_00030708
Potri.011G024000	TCONS_00193242
Potri.005G203300	TCONS_00106222
Potri.005G161100	TCONS_00104798
Potri.005G065900	TCONS_00101250
Potri.006G195200	TCONS_00126329
Potri.006G122000	TCONS_00113060
Potri.004G236000	TCONS_00089298
Potri.018G034200	TCONS_00278754
Potri.008G219900	TCONS_00158864
Potri.014G169200	TCONS_00239780
Potri.016G119800	TCONS_00255830
Potri.013G114800	TCONS_00224219
Potri.010G081300	TCONS_00174838
Potri.009G066800	TCONS_00167903
Potri.002G043500	TCONS_00047381
Potri.019G051300	TCONS_00284946
Potri.011G149200	TCONS_00197005
Potri.004G130300	TCONS_00077545
Potri.010G130300	TCONS_00187504
Potri.018G003600	TCONS_00277627
Potri.005G199300	TCONS_00096734
Potri.004G133900	TCONS_00085582
Potri.010G249700	TCONS_00181633
Potri.004G175800	TCONS_00079003
Potri.004G174400	TCONS_00086916
Potri.006G238600	TCONS_00127859
Potri.003G168800	TCONS_00071552
Potri.012G053800	TCONS_00210890
Potri.001G294200	TCONS_00011066
Potri.001G288600	TCONS_00010841
Potri.009G050200	TCONS_00167261
Potri.012G099600	TCONS_00212658
Potri.003G006300	TCONS_00065235
Potri.014G067300	TCONS_00228171
Potri.006G274700	TCONS_00118789
Potri.001G327100	TCONS_00029516
Potri.010G175600	TCONS_00189276
Potri.010G159300	TCONS_00188633
Potri.016G109400	TCONS_00255426
Potri.004G175200	TCONS_00078982
Potri.004G194200	TCONS_00079507
Potri.006G192000	TCONS_00115562
Potri.007G070600	TCONS_00132450
Potri.001G122200	TCONS_00022080
Potri.009G135100	TCONS_00170608
Potri.014G157100	TCONS_00239317
Potri.T059600	TCONS_00300822
Potri.007G030800	TCONS_00130834
Potri.002G036200	TCONS_00047111
Potri.004G152400	TCONS_00086179
Potri.001G085500	TCONS_00020676
Potri.006G090300	TCONS_00111992
Potri.011G062200	TCONS_00199595
Potri.001G033600	TCONS_00001290
Potri.013G133700	TCONS_00219314
Potri.008G186900	TCONS_00157682
Potri.009G142100	TCONS_00170875
Potri.003G150500	TCONS_00062356
Potri.002G103400	TCONS_00049925
Potri.018G002000	TCONS_00277556
Potri.005G101200	TCONS_00102567
Potri.002G006600	TCONS_00035111
Potri.003G084100	TCONS_00068222
Potri.002G185100	TCONS_00053130
Potri.001G172600	TCONS_00024005
Potri.004G075200	TCONS_00075660
Potri.007G093400	TCONS_00133260
Potri.001G093800	TCONS_00021159
Potri.016G134200	TCONS_00256259
Potri.007G130900	TCONS_00139822
Potri.T057800	TCONS_00300491
Potri.010G178400	TCONS_00178492
Potri.001G274500	TCONS_00027844
Potri.005G256500	TCONS_00108390
Potri.018G073400	TCONS_00280111
Potri.013G108600	TCONS_00218522
Potri.019G030400	TCONS_00283755
Potri.006G001400	TCONS_00119076
Potri.004G143700	TCONS_00085915
Potri.009G153900	TCONS_00164939
Potri.015G137400	TCONS_00246192
Potri.004G107000	TCONS_00076871
Potri.008G179800	TCONS_00157371
Potri.006G123000	TCONS_00113100
Potri.001G371700	TCONS_00013984
Potri.016G030800	TCONS_00257779
Potri.010G241700	TCONS_00192052
Potri.012G144400	TCONS_00214042
Potri.005G109400	TCONS_00093608
Potri.005G257900	TCONS_00108503
Potri.011G152500	TCONS_00202841
Potri.019G131400	TCONS_00291214
Potri.005G225700	TCONS_00097764
Potri.006G079700	TCONS_00111619
Potri.018G122300	TCONS_00281876
Potri.013G101000	TCONS_00223682
Potri.015G039800	TCONS_00242509
Potri.002G045100	TCONS_00047451
Potri.009G047500	TCONS_00167143
Potri.004G138200	TCONS_00085719
Potri.019G105200	TCONS_00290563
Potri.009G119800	TCONS_00163676
Potri.015G049500	TCONS_00242909
Potri.007G104000	TCONS_00138913
Potri.001G171800	TCONS_00006553
Potri.006G032900	TCONS_00109580
Potri.017G039100	TCONS_00263076
Potri.001G075700	TCONS_00002587
Potri.010G105700	TCONS_00175613
Potri.005G094200	TCONS_00102325
Potri.014G058700	TCONS_00235538
Potri.003G163600	TCONS_00062936
Potri.010G012900	TCONS_00182443
Potri.008G086900	TCONS_00144171
Potri.002G244000	TCONS_00055279
Potri.002G260100	TCONS_00045446
Potri.008G130100	TCONS_00155576
XLOC_082335	TCONS_00293438
Potri.012G022000	TCONS_00204106
Potri.007G029200	TCONS_00130786
Potri.009G034700	TCONS_00166759
Potri.006G098300	TCONS_00122497
Potri.003G114600	TCONS_00060989
Potri.010G120700	TCONS_00187189
Potri.013G064800	TCONS_00216613
Potri.008G075600	TCONS_00153236
Potri.010G193800	TCONS_00179339
Potri.002G175000	TCONS_00052773
Potri.002G139600	TCONS_00051444
Potri.002G093400	TCONS_00049488
Potri.012G104500	TCONS_00207514
Potri.001G406900	TCONS_00032425
Potri.001G396900	TCONS_00031964
Potri.002G075400	TCONS_00037919
Potri.006G040300	TCONS_00120345
Potri.003G126900	TCONS_00070097
Potri.006G227500	TCONS_00127515
Potri.010G163200	TCONS_00177816
Potri.007G071000	TCONS_00132537
Potri.019G017900	TCONS_00287512
Potri.011G063400	TCONS_00199628
Potri.008G131500	TCONS_00155613
Potri.008G086300	TCONS_00153768
Potri.016G071000	TCONS_00254046
Potri.005G066900	TCONS_00101261
Potri.004G162600	TCONS_00086609
Potri.005G045200	TCONS_00091119
Potri.010G106300	TCONS_00175639
Potri.014G150100	TCONS_00231645
Potri.006G122200	TCONS_00123558
Potri.014G061000	TCONS_00235579
Potri.004G188800	TCONS_00079405
Potri.005G039800	TCONS_00100337
Potri.009G061600	TCONS_00167730
Potri.010G171600	TCONS_00178115
Potri.004G047700	TCONS_00074824
Potri.005G099200	TCONS_00102504
Potri.014G186600	TCONS_00240538
Potri.015G065100	TCONS_00243565
Potri.013G090000	TCONS_00217907
Potri.002G008600	TCONS_00046112
Potri.016G130000	TCONS_00256108
XLOC_033261	TCONS_00118833
Potri.010G039900	TCONS_00183717
Potri.015G090100	TCONS_00249842
Potri.010G145000	TCONS_00188011
Potri.005G120600	TCONS_00103268
Potri.002G024200	TCONS_00035762
Potri.002G176200	TCONS_00052806
Potri.001G331900	TCONS_00029654
Potri.014G137300	TCONS_00231039
Potri.002G136200	TCONS_00051280
Potri.014G039100	TCONS_00234784
Potri.001G403000	TCONS_00015029
Potri.003G181400	TCONS_00063700
XLOC_063464	TCONS_00233431
Potri.001G333500	TCONS_00029762
Potri.007G043800	TCONS_00136654
Potri.005G180200	TCONS_00105380
Potri.004G186400	TCONS_00079322
Potri.014G053500	TCONS_00227730
Potri.015G079500	TCONS_00244309
Potri.008G168700	TCONS_00147593
Potri.003G133900	TCONS_00070406
Potri.013G079000	TCONS_00217288
Potri.005G252500	TCONS_00108283
Potri.015G145800	TCONS_00251558
Potri.014G145300	TCONS_00231462
Potri.005G166100	TCONS_00104936
Potri.003G083900	TCONS_00068213
Potri.015G133400	TCONS_00251191
Potri.011G103600	TCONS_00201117
Potri.008G060000	TCONS_00152474
Potri.012G142800	TCONS_00208815
Potri.019G057400	TCONS_00285225
Potri.001G098600	TCONS_00003342
Potri.012G030200	TCONS_00210167
Potri.011G006800	TCONS_00192835
Potri.005G177100	TCONS_00095753
Potri.003G161600	TCONS_00062806
Potri.013G083300	TCONS_00217484
Potri.007G128000	TCONS_00139674
Potri.010G052300	TCONS_00184228
Potri.013G093200	TCONS_00223470
Potri.010G040000	TCONS_00183739
Potri.017G091300	TCONS_00264678
XLOC_064199	TCONS_00235708
Potri.003G183800	TCONS_00071983
Potri.006G104700	TCONS_00122735
Potri.019G014100	TCONS_00283260
Potri.003G086900	TCONS_00068342
Potri.011G045300	TCONS_00199052
Potri.004G045700	TCONS_00082574
Potri.005G244700	TCONS_00098496
Potri.001G020200	TCONS_00000703
Potri.011G145400	TCONS_00202498
Potri.005G192300	TCONS_00096379
Potri.010G199200	TCONS_00190140
Potri.007G129700	TCONS_00134433
XLOC_084823	TCONS_00297312
Potri.004G099500	TCONS_00084433
Potri.001G073700	TCONS_00002525
Potri.012G117800	TCONS_00207917
Potri.018G030200	TCONS_00278631
Potri.004G118900	TCONS_00077150
Potri.018G125000	TCONS_00276345
Potri.007G107800	TCONS_00133721
Potri.010G038900	TCONS_00172993
Potri.015G078900	TCONS_00249411
Potri.002G119400	TCONS_00039823
Potri.006G247900	TCONS_00128229
Potri.008G175800	TCONS_00147937
Potri.001G418400	TCONS_00032781
Potri.008G091700	TCONS_00153929
Potri.012G045000	TCONS_00204948
Potri.001G135300	TCONS_00022592
Potri.001G062000	TCONS_00002173
Potri.003G108100	TCONS_00060716
Potri.011G093200	TCONS_00200791
Potri.009G069800	TCONS_00162017
Potri.002G055500	TCONS_00048007
Potri.001G080400	TCONS_00020488
Potri.014G045600	TCONS_00227346
Potri.001G332100	TCONS_00029700
Potri.007G121100	TCONS_00134106
Potri.019G079900	TCONS_00285842
Potri.014G091300	TCONS_00236878
Potri.017G111300	TCONS_00265438
Potri.010G233100	TCONS_00181140
Potri.005G134400	TCONS_00103925
Potri.017G090300	TCONS_00264661
Potri.015G138200	TCONS_00246204
Potri.005G086400	TCONS_00092802
Potri.006G066600	TCONS_00111046
Potri.003G217800	TCONS_00073074
Potri.002G085500	TCONS_00038341
Potri.016G075800	TCONS_00254210
Potri.006G237800	TCONS_00127835
Potri.006G206200	TCONS_00116114
Potri.010G095600	TCONS_00186202
Potri.001G311000	TCONS_00011651
Potri.006G119000	TCONS_00112928
Potri.005G195300	TCONS_00105887
Potri.012G049200	TCONS_00205095
Potri.007G100900	TCONS_00133530
Potri.010G215000	TCONS_00180190
Potri.008G181900	TCONS_00157446
Potri.013G059800	TCONS_00222270
Potri.009G124900	TCONS_00170383
Potri.010G055000	TCONS_00173706
Potri.002G248000	TCONS_00055467
Potri.015G040100	TCONS_00248017
Potri.016G059300	TCONS_00258754
Potri.012G016900	TCONS_00203948
Potri.001G078500	TCONS_00002644
Potri.006G209100	TCONS_00116184
Potri.008G046500	TCONS_00142619
Potri.005G090400	TCONS_00102226
Potri.016G029200	TCONS_00252587
Potri.017G138300	TCONS_00270873
Potri.001G383000	TCONS_00031596
Potri.006G136100	TCONS_00113576
Potri.T162900	TCONS_00302248
Potri.008G121100	TCONS_00155206
Potri.012G044600	TCONS_00204914
Potri.005G070400	TCONS_00101397
Potri.T078100	TCONS_00302703
Potri.011G068600	TCONS_00194407
Potri.007G080800	TCONS_00132878
Potri.005G083600	TCONS_00092709
Potri.010G003800	TCONS_00182132
Potri.003G067100	TCONS_00067357
Potri.016G050500	TCONS_00258480
Potri.009G088600	TCONS_00162744
Potri.009G162500	TCONS_00171546
Potri.017G047900	TCONS_00263285
Potri.014G032900	TCONS_00234612
Potri.004G226600	TCONS_00088787
Potri.002G188700	TCONS_00042392
Potri.002G209900	TCONS_00043500
Potri.006G127000	TCONS_00123779
Potri.008G099700	TCONS_00154204
Potri.016G051900	TCONS_00253260
Potri.006G218600	TCONS_00127086
Potri.002G140100	TCONS_00051477
Potri.007G059100	TCONS_00131861
Potri.009G089800	TCONS_00168874
Potri.001G104300	TCONS_00021439
Potri.003G157500	TCONS_00062600
Potri.002G214400	TCONS_00054141
Potri.013G015600	TCONS_00220643
Potri.017G085100	TCONS_00264444
Potri.008G164500	TCONS_00156776
Potri.006G263500	TCONS_00118478
Potri.013G068800	TCONS_00216818
Potri.016G024200	TCONS_00257608
XLOC_005006	TCONS_00016746
Potri.006G217600	TCONS_00116578
Potri.015G027300	TCONS_00247550
Potri.003G145600	TCONS_00070696
Potri.002G143100	TCONS_00051575
Potri.008G006000	TCONS_00140896
Potri.006G263200	TCONS_00128751
Potri.001G150900	TCONS_00005641
Potri.011G088500	TCONS_00195007
